Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Crop_Type,Recommended_Fertilizer
Silt,6.95,37.74,60,62,49,24.14,32.69,Tomato,Urea
Sandy,6.84,46.11,112,89,12,23.72,59.84,Rice,MOP
Sandy,6.69,55.2,116,21,59,34.67,87.29,Tomato,DAP
Silt,7.06,54.2,100,37,10,19.24,39.66,Wheat,DAP
Sandy,5.54,35.44,121,80,17,14.11,64.61,Sugarcane,MOP
Loamy,4.84,42.16,60,42,71,15.57,46.47,Potato,Compost
Loamy,4.98,29.71,142,84,73,12.43,31.12,Maize,Compost
Silt,5.4,33.41,52,88,50,25.24,89.23,Sugarcane,Urea
Loamy,6.5,55.31,101,64,26,30.32,72.97,Tomato,MOP
Loamy,7.86,56.54,103,88,81,38.02,74.13,Potato,Zinc Sulphate
Clay,7.31,54.77,109,82,52,32.52,69.78,Tomato,NPK
Clay,7.66,16.92,90,86,106,27.49,38.62,Sugarcane,SSP
Loamy,5.9,52.5,124,59,99,35.92,42.4,Maize,DAP
Silt,6.12,57.42,76,38,11,36.77,53.14,Wheat,DAP
Clay,6.07,28.06,39,67,56,31.37,89.73,Sugarcane,Urea
Sandy,5.27,35.93,94,35,69,11.69,70.35,Sugarcane,DAP
Sandy,4.74,48.95,57,32,58,18.75,56.54,Rice,Urea
Sandy,6.86,38.1,46,26,102,20.09,59.08,Maize,Urea
Silt,8.46,59.67,156,14,24,39.92,85.33,Potato,DAP
Loamy,5.17,32.79,132,68,103,23.92,41.79,Tomato,Compost
Sandy,4.69,45.7,33,25,59,32.86,49.25,Cotton,Urea
Silt,7.62,49.63,56,30,117,34.41,52.25,Sugarcane,Urea
Clay,5.51,34.71,111,14,55,29.6,83.86,Rice,DAP
Loamy,7.82,52.85,73,67,85,10.55,76.61,Maize,Zinc Sulphate
Clay,7.32,37.31,144,35,11,10.58,65.45,Potato,DAP
Silt,8.28,30.58,142,52,94,34.56,48.88,Potato,Zinc Sulphate
Sandy,6.14,15.39,50,68,38,32.18,42.13,Cotton,Urea
Sandy,7.15,29.67,117,67,38,26.08,49.85,Cotton,MOP
Silt,6.36,46.7,142,11,89,17.47,85.77,Sugarcane,DAP
Sandy,7.02,56.06,132,53,104,12.6,84.61,Wheat,SSP
Loamy,6.3,22.58,104,85,70,14.93,55.32,Maize,Compost
Silt,5.25,27.76,109,35,106,27.41,49.53,Rice,DAP
Clay,6.53,17.7,111,53,75,26.37,83.08,Maize,SSP
Silt,6.61,44.54,147,28,53,38.24,56.77,Rice,DAP
Loamy,7.74,58.01,41,58,13,38.72,32.32,Sugarcane,Urea
Loamy,7.44,42.05,22,66,48,27.28,50.74,Maize,Urea
Silt,7.16,40.85,111,15,69,35.24,66.44,Sugarcane,DAP
Silt,4.95,37.67,82,32,58,34.37,86.68,Wheat,DAP
Sandy,7.38,14.42,85,52,14,32.57,55.48,Rice,MOP
Loamy,6.5,46.48,65,53,75,23.12,44.41,Wheat,SSP
Silt,8.08,40.1,155,75,54,21.68,53.07,Rice,Zinc Sulphate
Silt,8.18,43.07,58,54,69,17.92,33.42,Potato,Urea
Loamy,4.72,54.94,113,28,17,38.11,83.93,Wheat,DAP
Silt,7.78,49.2,66,13,59,35.03,32.01,Maize,DAP
Sandy,4.65,49.05,87,66,45,15.31,30.06,Potato,Compost
Loamy,5.97,56.36,76,18,79,17.57,66.85,Rice,DAP
Sandy,6.67,59.5,106,57,50,27.44,39.24,Tomato,Compost
Sandy,5.09,39.06,81,45,19,22.41,47.76,Sugarcane,MOP
Sandy,7.49,15.44,58,76,45,16.42,59.46,Rice,Urea
Sandy,4.53,32.96,133,27,77,33.73,77.53,Tomato,DAP
Loamy,5.17,49.38,141,49,112,10.05,53.25,Cotton,Compost
Sandy,6.82,11.39,154,75,23,20.3,87.43,Tomato,MOP
Sandy,7.36,12.84,114,74,85,37.88,57.19,Rice,NPK
Silt,8.17,13.36,25,33,26,32.82,85.2,Rice,Urea
Loamy,7.32,46.55,142,62,30,22.04,57.14,Potato,MOP
Loamy,7.19,35.06,102,51,86,37.86,60.97,Cotton,Zinc Sulphate
Clay,6.08,28.44,38,62,106,37.02,87.48,Wheat,Urea
Loamy,4.51,15.28,38,71,63,11.58,70.49,Tomato,Urea
Loamy,4.98,46.61,53,71,22,13.84,38.96,Wheat,Urea
Clay,6.64,26.05,44,77,57,21.62,65.91,Rice,Urea
Loamy,7.2,23.27,116,44,54,37.88,43.51,Wheat,SSP
Loamy,6.17,42.62,75,66,18,35.33,48.58,Cotton,MOP
Loamy,7.42,37.95,40,70,64,11.43,80.29,Sugarcane,Urea
Loamy,6.59,28.12,53,21,59,25.37,70.93,Wheat,Urea
Clay,4.8,42.07,129,58,29,31.61,47.21,Rice,MOP
Loamy,5.27,23.56,44,31,117,18.28,30.28,Tomato,Urea
Loamy,7.86,49.74,101,77,49,31.68,61.87,Sugarcane,Zinc Sulphate
Clay,7.4,21.47,126,80,10,21.09,45.01,Sugarcane,MOP
Silt,8.08,17.94,30,32,86,18.22,31.7,Tomato,Urea
Sandy,4.97,49.12,38,16,95,21.78,33.8,Sugarcane,Urea
Silt,8.46,45.39,149,31,86,38.52,70.4,Tomato,DAP
Clay,5.34,19.13,49,49,73,37.16,54.86,Rice,Urea
Sandy,4.55,15.81,128,28,44,37.42,45.75,Sugarcane,DAP
Clay,8.49,51.92,57,62,74,37.52,82.78,Cotton,Urea
Clay,5.62,48.83,34,39,119,15.35,79.51,Sugarcane,Urea
Loamy,7.17,26.36,94,35,62,36.88,57.97,Tomato,DAP
Sandy,5.21,42.91,79,50,106,16.37,46.54,Potato,Compost
Loamy,6.82,16.21,151,31,70,35.14,60.43,Potato,DAP
Sandy,8.12,35.35,102,70,14,26.26,75.18,Tomato,MOP
Clay,5.78,10.94,33,82,103,17.2,30.64,Tomato,Urea
Clay,7.18,29.58,133,55,78,21.96,66.75,Cotton,NPK
Silt,5.25,13.74,100,67,116,23.0,72.61,Rice,Compost
Sandy,7.0,33.76,27,38,98,32.0,79.01,Tomato,Urea
Loamy,5.85,31.08,96,62,69,28.18,43.0,Tomato,NPK
Silt,5.34,32.22,112,27,99,34.5,42.21,Rice,DAP
Silt,5.75,12.27,130,40,28,21.9,42.94,Potato,MOP
Silt,5.22,28.08,158,41,85,32.31,85.89,Rice,Compost
Loamy,8.11,47.82,99,18,66,33.78,38.46,Sugarcane,DAP
Silt,6.09,28.45,69,46,17,11.89,75.88,Wheat,MOP
Loamy,5.48,45.76,106,17,83,21.27,89.21,Wheat,DAP
Silt,6.29,28.47,95,33,27,36.58,86.78,Sugarcane,DAP
Loamy,5.78,31.16,57,77,114,31.15,54.59,Maize,Urea
Clay,7.48,38.19,114,61,20,22.55,80.36,Maize,MOP
Clay,8.38,57.53,144,55,71,15.49,70.21,Cotton,Zinc Sulphate
Clay,6.25,15.44,84,26,39,12.9,82.11,Wheat,DAP
Clay,7.94,11.65,109,30,14,16.88,39.67,Sugarcane,DAP
Clay,6.76,40.4,36,57,97,17.34,75.9,Tomato,Urea
Silt,5.13,57.45,119,18,118,21.12,65.19,Rice,DAP
Silt,7.26,59.49,46,78,86,15.31,62.41,Wheat,Urea
Silt,6.55,34.21,108,14,65,14.38,73.73,Sugarcane,DAP
Loamy,7.1,33.4,44,15,45,35.32,46.38,Potato,Urea
Loamy,8.06,42.25,121,81,36,17.49,34.48,Potato,MOP
Loamy,6.26,37.78,115,57,41,26.85,60.13,Maize,Zinc Sulphate
Loamy,8.1,41.7,77,55,23,15.98,48.13,Potato,MOP
Clay,7.5,53.7,143,88,50,24.75,45.38,Potato,DAP
Clay,6.45,47.32,20,82,75,18.3,89.91,Maize,Urea
Clay,6.91,34.84,40,72,13,12.6,41.87,Maize,Urea
Sandy,5.8,33.09,20,12,20,39.47,44.13,Potato,Urea
Silt,8.43,41.98,80,40,115,23.73,50.03,Cotton,Zinc Sulphate
Loamy,7.17,32.79,22,16,110,21.79,59.82,Tomato,Urea
Loamy,4.68,32.89,101,25,57,15.97,82.15,Sugarcane,DAP
Clay,5.81,10.82,44,24,111,24.86,40.58,Sugarcane,Urea
Loamy,6.99,18.7,37,16,46,29.06,66.96,Potato,Urea
Loamy,4.73,34.43,47,47,22,19.14,52.11,Tomato,Urea
Silt,4.6,51.13,23,17,82,24.41,77.81,Rice,Urea
Clay,6.3,23.94,138,65,51,17.11,66.11,Tomato,DAP
Silt,5.83,36.13,135,89,36,25.83,77.71,Sugarcane,MOP
Sandy,6.25,27.25,89,10,75,33.62,81.31,Rice,DAP
Sandy,5.55,15.24,40,28,56,11.81,84.73,Potato,Urea
Sandy,5.16,57.91,113,87,100,25.54,89.74,Tomato,Compost
Clay,7.26,52.73,145,28,85,21.98,67.13,Maize,DAP
Loamy,6.56,13.92,140,13,21,12.22,68.25,Wheat,DAP
Clay,5.3,45.99,147,73,76,38.22,38.43,Tomato,Compost
Clay,5.78,27.38,50,11,35,17.8,36.31,Maize,Urea
Loamy,6.87,59.74,119,85,88,26.94,59.26,Sugarcane,MOP
Silt,4.79,25.12,88,32,36,21.18,71.62,Rice,DAP
Sandy,5.09,21.94,36,65,118,18.13,44.89,Maize,Urea
Silt,4.79,38.39,64,60,44,25.82,49.63,Tomato,Compost
Sandy,7.75,51.76,130,40,22,30.67,72.01,Tomato,MOP
Clay,7.51,19.63,69,67,65,33.57,42.7,Sugarcane,NPK
Sandy,7.51,45.47,139,45,78,29.02,61.28,Sugarcane,NPK
Clay,7.37,13.07,117,21,52,25.79,62.32,Rice,DAP
Silt,7.18,55.95,135,44,90,33.32,85.02,Potato,NPK
Clay,6.41,14.05,142,89,92,25.52,54.14,Cotton,Zinc Sulphate
Silt,7.07,55.71,48,13,93,39.23,42.63,Wheat,Urea
Loamy,4.65,34.54,22,37,68,25.8,40.43,Tomato,Urea
Loamy,6.99,32.4,25,42,96,19.52,47.59,Cotton,Urea
Loamy,7.61,58.67,95,83,21,23.39,46.74,Maize,MOP
Clay,6.5,59.52,24,40,105,24.7,75.01,Cotton,Urea
Loamy,5.93,42.51,22,87,38,18.5,65.62,Rice,Urea
Sandy,5.61,16.36,23,14,14,14.76,70.95,Tomato,Urea
Silt,7.07,35.31,24,19,58,22.94,67.82,Wheat,Urea
Silt,7.27,36.46,76,34,73,36.91,58.87,Cotton,DAP
Sandy,7.98,35.72,118,50,52,17.67,85.7,Cotton,Zinc Sulphate
Clay,5.87,38.47,102,26,75,20.85,79.05,Wheat,DAP
Clay,7.58,10.94,74,70,15,32.73,42.65,Maize,MOP
Silt,6.75,45.56,42,69,94,12.47,55.42,Rice,Urea
Loamy,8.03,45.62,154,42,108,34.75,47.27,Tomato,Zinc Sulphate
Clay,6.61,15.77,57,18,24,31.61,74.74,Wheat,Urea
Clay,6.57,38.51,128,59,27,26.49,50.67,Maize,MOP
Sandy,6.81,38.42,104,40,58,16.28,68.41,Wheat,NPK
Sandy,7.5,44.12,56,14,56,12.78,47.53,Rice,Urea
Loamy,8.36,14.27,153,55,11,16.95,40.3,Rice,MOP
Clay,4.79,41.33,157,13,14,32.84,30.55,Cotton,DAP
Clay,4.71,24.04,135,40,46,38.0,89.68,Cotton,Compost
Sandy,8.25,35.35,125,13,114,32.14,43.17,Sugarcane,DAP
Clay,6.62,48.67,76,27,15,25.83,79.93,Sugarcane,DAP
Silt,6.96,45.28,111,43,51,38.52,79.33,Cotton,DAP
Sandy,6.43,15.95,35,57,60,34.86,44.16,Rice,Urea
Loamy,4.87,39.56,133,72,92,29.68,54.94,Maize,Compost
Sandy,7.57,58.46,78,23,25,11.14,80.17,Potato,DAP
Clay,7.49,17.84,22,42,85,18.63,71.39,Cotton,Urea
Loamy,5.75,52.65,136,51,97,19.25,52.19,Sugarcane,NPK
Sandy,5.72,45.13,38,41,82,20.42,86.95,Rice,Urea
Silt,7.85,48.7,116,52,76,21.68,50.54,Potato,Zinc Sulphate
Silt,4.79,24.1,155,66,90,38.18,42.72,Tomato,Compost
Sandy,8.02,24.39,38,24,39,32.26,38.8,Wheat,Urea
Silt,5.53,55.3,55,59,36,30.76,72.08,Cotton,Urea
Silt,6.87,27.99,131,80,97,22.8,31.74,Cotton,SSP
Silt,8.24,13.15,79,72,51,20.13,80.75,Maize,Zinc Sulphate
Loamy,7.21,40.03,53,79,73,13.59,48.25,Potato,Urea
Silt,6.16,16.24,61,18,59,23.6,52.19,Tomato,DAP
Silt,7.26,49.83,61,22,48,16.16,78.11,Rice,DAP
Silt,5.88,42.09,107,27,16,21.73,78.85,Maize,DAP
Loamy,5.61,53.74,41,44,82,14.69,54.0,Tomato,Urea
Sandy,8.49,49.24,106,10,25,20.32,63.23,Wheat,DAP
Clay,7.5,15.61,60,45,65,11.29,70.75,Rice,NPK
Silt,7.08,29.05,43,89,20,10.18,71.32,Maize,Urea
Sandy,5.92,48.73,70,76,18,36.1,62.04,Wheat,MOP
Silt,4.7,30.87,52,55,10,29.24,80.65,Wheat,Urea
Loamy,4.62,58.62,47,46,53,27.63,80.49,Cotton,Urea
Sandy,6.72,46.79,109,81,44,25.41,80.93,Potato,Urea
Loamy,7.55,10.77,101,38,93,31.8,46.09,Potato,DAP
Silt,6.65,54.0,141,53,60,32.08,45.41,Rice,NPK
Silt,7.86,15.04,98,77,17,38.06,38.39,Wheat,MOP
Loamy,4.63,17.03,121,85,80,17.33,79.58,Maize,Compost
Clay,5.97,46.72,41,86,46,33.56,33.64,Rice,Urea
Loamy,5.45,53.25,37,23,110,39.73,38.12,Wheat,Urea
Silt,6.29,36.82,21,87,93,10.87,85.57,Cotton,Urea
Loamy,4.79,24.45,113,60,14,21.22,37.51,Sugarcane,MOP
Clay,8.32,27.57,108,83,85,23.08,37.28,Sugarcane,Zinc Sulphate
Loamy,5.39,27.14,58,18,30,34.65,84.55,Potato,Urea
Clay,8.19,26.33,36,78,93,10.41,48.61,Sugarcane,Urea
Clay,6.2,22.15,35,43,14,27.96,82.89,Wheat,Urea
Loamy,8.44,40.44,150,74,32,36.78,52.66,Wheat,MOP
Loamy,6.72,55.02,61,36,66,14.43,52.42,Maize,DAP
Sandy,8.22,25.35,82,49,80,13.47,38.11,Sugarcane,Zinc Sulphate
Silt,4.52,19.33,48,17,74,39.99,85.12,Sugarcane,Urea
Clay,7.49,51.93,149,15,34,34.78,75.7,Rice,DAP
Sandy,8.11,47.09,126,62,28,30.92,43.54,Rice,MOP
Loamy,5.06,56.54,123,14,11,21.97,73.67,Wheat,DAP
Silt,4.88,18.28,33,63,21,35.62,36.22,Potato,Urea
Sandy,6.2,17.21,31,27,51,37.68,61.43,Tomato,Urea
Clay,8.23,37.07,43,80,34,31.97,45.26,Wheat,Urea
Sandy,6.67,40.72,47,45,105,21.94,81.04,Cotton,Urea
Clay,6.61,34.01,120,63,57,27.51,60.67,Potato,Urea
Loamy,5.06,39.95,153,43,116,12.96,85.27,Sugarcane,Compost
Silt,4.5,19.02,49,41,91,14.74,65.11,Sugarcane,Urea
Silt,7.74,33.98,53,60,40,33.49,60.24,Wheat,Urea
Silt,4.85,42.9,94,12,67,10.88,71.64,Tomato,DAP
Loamy,7.04,31.64,35,74,70,11.48,77.04,Tomato,Urea
Clay,8.16,43.97,46,22,53,25.24,30.92,Tomato,Urea
Loamy,5.33,32.56,131,17,18,15.12,61.34,Maize,DAP
Silt,7.16,26.68,68,53,30,18.81,76.54,Rice,MOP
Loamy,4.81,25.18,156,39,63,21.96,54.45,Sugarcane,DAP
Loamy,6.92,30.55,45,17,112,25.67,32.71,Tomato,Urea
Loamy,5.16,11.15,25,67,80,18.51,31.05,Maize,Urea
Clay,7.44,43.43,154,17,22,24.51,77.63,Potato,DAP
Sandy,5.7,52.26,32,70,93,21.12,41.88,Rice,Urea
Sandy,6.35,27.73,29,88,22,12.43,40.5,Potato,Urea
Loamy,6.9,12.3,62,62,61,36.01,47.37,Cotton,Urea
Sandy,5.19,59.34,129,80,37,18.44,36.13,Tomato,MOP
Sandy,7.47,23.18,131,85,110,28.28,33.2,Tomato,NPK
Loamy,5.71,16.33,120,45,98,27.09,82.34,Potato,Zinc Sulphate
Loamy,7.15,28.49,37,83,55,15.98,48.17,Potato,Urea
Silt,5.13,46.93,30,71,57,10.9,64.94,Wheat,Urea
Sandy,7.25,24.7,29,28,118,35.71,81.47,Maize,Urea
Clay,5.01,38.74,72,27,99,24.93,88.65,Rice,DAP
Loamy,6.2,30.78,73,53,117,22.43,71.31,Tomato,NPK
Silt,5.49,15.89,25,29,106,32.89,87.01,Wheat,Urea
Clay,7.49,26.51,125,11,113,10.99,55.41,Tomato,DAP
Sandy,5.55,46.24,158,39,49,32.96,77.37,Wheat,DAP
Silt,8.03,40.6,52,60,63,22.27,86.26,Tomato,Urea
Loamy,8.07,15.99,88,53,36,26.55,33.19,Sugarcane,MOP
Clay,5.29,18.17,115,56,88,32.57,49.05,Rice,Compost
Loamy,6.96,42.04,107,52,12,26.4,74.42,Wheat,MOP
Sandy,4.85,50.67,74,20,102,11.85,48.92,Sugarcane,DAP
Clay,6.07,27.47,70,51,104,31.86,31.02,Tomato,NPK
Sandy,7.35,39.77,44,28,68,33.59,78.42,Wheat,Urea
Sandy,7.14,18.53,124,12,113,23.86,39.88,Rice,DAP
Silt,7.0,25.57,42,13,27,23.17,49.25,Wheat,Urea
Loamy,5.63,11.01,65,47,33,17.56,84.63,Cotton,MOP
Clay,6.01,48.41,33,82,70,29.32,42.53,Cotton,Urea
Sandy,4.91,30.05,124,81,112,36.46,83.69,Cotton,Compost
Sandy,7.38,50.81,141,43,66,29.68,55.35,Cotton,SSP
Clay,6.52,45.42,52,60,53,33.14,85.09,Potato,Urea
Sandy,7.34,51.44,139,40,56,35.12,82.61,Maize,NPK
Silt,5.5,24.28,50,46,81,16.78,54.91,Tomato,Urea
Silt,5.8,19.26,42,53,102,22.06,85.31,Wheat,Urea
Silt,5.84,58.6,134,68,46,23.08,67.96,Wheat,MOP
Silt,4.6,45.87,73,27,46,26.77,58.54,Wheat,DAP
Sandy,5.86,51.7,103,34,82,11.48,61.84,Wheat,DAP
Clay,7.71,10.66,75,19,54,27.65,33.8,Sugarcane,DAP
Clay,8.09,27.72,111,78,39,12.66,78.46,Maize,MOP
Clay,6.57,47.14,27,88,24,34.2,47.55,Tomato,Urea
Clay,6.32,13.9,81,34,113,38.89,46.21,Wheat,DAP
Loamy,4.62,38.37,73,60,85,18.69,72.92,Sugarcane,Compost
Clay,8.02,31.45,138,62,114,25.2,52.25,Potato,Zinc Sulphate
Loamy,4.55,10.88,127,19,36,34.7,60.85,Maize,DAP
Loamy,8.28,21.8,107,58,56,19.44,55.29,Sugarcane,Zinc Sulphate
Silt,6.46,24.24,34,47,56,14.73,60.28,Cotton,Urea
Loamy,5.87,15.59,133,55,40,32.17,43.33,Cotton,SSP
Sandy,8.2,41.58,24,79,86,30.95,83.1,Sugarcane,Urea
Loamy,4.6,22.12,36,20,24,27.1,66.61,Wheat,Urea
Silt,6.83,23.88,111,25,63,38.33,44.02,Maize,DAP
Loamy,6.7,54.91,136,41,78,38.65,35.49,Rice,NPK
Sandy,5.38,33.36,150,11,51,35.85,62.13,Sugarcane,DAP
Sandy,6.22,29.61,121,67,71,18.79,58.09,Tomato,MOP
Sandy,7.11,46.19,120,47,34,16.76,85.95,Sugarcane,MOP
Silt,7.41,55.48,70,88,21,35.07,43.84,Sugarcane,MOP
Silt,4.5,11.25,73,66,18,29.54,82.9,Wheat,MOP
Clay,8.25,32.41,158,86,99,21.88,75.99,Sugarcane,Zinc Sulphate
Silt,5.16,40.54,109,80,46,22.29,58.59,Rice,Compost
Sandy,5.43,25.93,132,68,18,35.6,82.43,Cotton,MOP
Sandy,5.55,48.62,55,66,78,14.9,81.71,Cotton,Urea
Silt,4.65,58.57,109,76,64,38.32,72.87,Tomato,Compost
Loamy,4.99,57.17,139,24,55,29.0,36.09,Maize,DAP
Silt,8.45,23.3,110,67,80,33.74,39.61,Maize,Zinc Sulphate
Silt,5.76,21.32,117,12,50,21.13,65.5,Cotton,DAP
Sandy,4.96,57.87,79,67,104,27.61,44.73,Rice,Compost
Clay,4.93,32.93,109,36,117,32.5,63.07,Rice,DAP
Sandy,7.38,20.41,41,24,110,23.05,63.65,Wheat,Urea
Clay,7.92,45.35,43,69,16,24.64,65.23,Cotton,Urea
Sandy,5.53,24.22,159,12,14,27.46,64.19,Cotton,DAP
Silt,4.58,23.36,94,37,61,11.9,52.76,Maize,DAP
Sandy,5.39,53.96,79,56,90,35.9,42.61,Wheat,Compost
Sandy,4.73,18.12,99,74,84,36.0,61.11,Cotton,Compost
Sandy,4.91,13.22,26,62,46,18.44,59.71,Maize,Urea
Silt,6.23,23.46,72,29,69,36.39,46.51,Maize,DAP
Silt,5.42,40.35,43,20,45,32.36,33.07,Potato,Urea
Silt,6.56,16.15,72,34,100,24.5,42.33,Maize,DAP
Silt,5.51,33.58,32,72,10,20.43,63.05,Maize,Urea
Clay,8.26,41.37,97,13,10,21.98,62.14,Tomato,DAP
Clay,8.12,52.44,114,63,87,26.03,38.02,Rice,Zinc Sulphate
Loamy,6.77,21.49,91,69,69,22.38,66.36,Tomato,NPK
Silt,5.92,50.87,20,37,101,22.61,55.36,Sugarcane,Urea
Clay,6.02,21.75,123,19,50,16.09,69.22,Tomato,DAP
Sandy,6.15,43.84,134,45,74,31.23,83.28,Maize,NPK
Silt,7.41,31.53,100,89,17,28.29,48.51,Rice,MOP
Loamy,6.31,15.73,60,42,118,39.76,50.84,Potato,Urea
Loamy,7.93,45.71,32,68,50,14.24,70.61,Sugarcane,Urea
Loamy,8.28,20.89,46,54,56,13.41,86.95,Rice,Urea
Sandy,5.84,18.83,142,60,116,25.48,59.17,Sugarcane,DAP
Clay,6.74,27.92,59,55,99,14.56,40.16,Rice,Urea
Sandy,4.88,42.66,95,22,45,28.32,86.1,Wheat,DAP
Silt,5.3,21.7,71,13,102,15.88,58.19,Rice,DAP
Loamy,6.15,19.18,99,51,113,24.49,57.64,Wheat,NPK
Sandy,5.32,10.5,53,36,118,28.34,62.39,Tomato,Urea
Sandy,8.01,33.58,153,17,13,23.74,45.15,Sugarcane,DAP
Clay,5.13,31.43,67,55,51,19.6,77.08,Tomato,Compost
Clay,6.32,21.69,100,17,11,33.47,68.46,Cotton,DAP
Loamy,6.92,12.68,26,35,103,35.64,87.29,Cotton,Urea
Sandy,7.27,31.46,25,10,56,18.34,42.23,Maize,Urea
Sandy,6.03,49.41,72,70,29,34.4,67.15,Potato,MOP
Clay,7.98,45.76,20,48,39,21.75,61.0,Tomato,Urea
Sandy,6.77,53.04,48,18,91,24.63,83.69,Sugarcane,Urea
Sandy,6.26,10.48,111,36,39,16.95,31.82,Potato,DAP
Sandy,4.77,58.32,122,79,119,28.77,75.65,Rice,Compost
Clay,6.36,27.07,142,29,108,13.03,67.38,Maize,DAP
Loamy,7.78,59.52,121,74,10,27.75,66.45,Tomato,MOP
Silt,6.96,22.63,117,25,67,39.69,82.52,Rice,DAP
Loamy,7.83,33.58,78,77,76,32.6,65.39,Cotton,Zinc Sulphate
Silt,6.48,27.7,64,76,32,36.85,72.96,Maize,MOP
Sandy,4.97,27.79,141,31,54,23.93,68.74,Sugarcane,DAP
Loamy,4.55,52.11,42,82,113,14.26,34.17,Tomato,Urea
Silt,5.71,47.32,51,65,31,18.65,36.77,Sugarcane,Urea
Clay,7.29,59.61,91,66,58,11.47,50.31,Maize,Urea
Clay,7.66,40.68,130,63,57,25.05,70.54,Potato,NPK
Loamy,5.68,33.16,94,17,72,29.49,31.59,Potato,DAP
Loamy,6.48,14.5,72,16,57,22.73,76.36,Maize,DAP
Sandy,6.18,59.83,39,85,53,26.9,42.18,Rice,Urea
Loamy,6.14,37.58,148,10,60,19.62,63.57,Rice,DAP
Sandy,5.43,45.02,76,63,71,12.58,42.07,Sugarcane,Compost
Sandy,5.05,30.34,85,21,88,22.96,40.56,Sugarcane,DAP
Clay,5.29,37.39,158,89,50,26.43,50.05,Tomato,Compost
Clay,4.72,57.13,65,23,89,39.48,85.29,Maize,DAP
Silt,5.29,18.32,49,28,36,20.42,44.27,Potato,Urea
Clay,4.54,24.62,26,28,105,30.33,32.91,Tomato,Urea
Clay,7.01,17.6,114,86,107,34.68,82.93,Wheat,NPK
Loamy,5.77,49.61,62,83,66,20.06,56.34,Tomato,Urea
Clay,8.39,13.1,98,37,51,37.9,67.26,Maize,DAP
Silt,5.27,14.08,55,86,21,20.16,83.15,Maize,Urea
Loamy,5.88,24.92,148,24,91,39.09,75.34,Potato,DAP
Silt,5.93,35.71,26,72,91,10.06,77.79,Cotton,Urea
Clay,4.53,30.31,63,32,69,29.03,58.81,Potato,DAP
Silt,7.86,12.24,80,52,73,33.7,71.24,Maize,Zinc Sulphate
Loamy,4.63,57.87,45,19,13,18.4,87.83,Tomato,Urea
Sandy,8.26,57.64,126,45,107,13.51,83.39,Cotton,Zinc Sulphate
Silt,8.07,23.97,126,72,48,10.73,66.75,Rice,Zinc Sulphate
Silt,6.64,46.58,140,58,28,12.23,35.12,Wheat,MOP
Loamy,6.67,38.93,20,23,116,26.29,88.78,Potato,Urea
Loamy,7.12,21.87,82,43,71,35.18,43.53,Maize,NPK
Silt,6.05,23.11,34,48,54,11.89,51.65,Potato,Urea
Clay,7.09,34.56,74,41,70,13.4,38.42,Tomato,NPK
Silt,4.68,30.96,76,89,40,10.15,40.0,Rice,Compost
Loamy,4.72,24.56,136,31,58,18.47,77.75,Maize,DAP
Sandy,6.33,50.38,39,44,40,37.64,37.7,Maize,Urea
Sandy,6.7,34.07,108,32,51,18.29,41.36,Rice,DAP
Clay,8.05,42.74,136,34,57,23.22,40.29,Maize,DAP
Silt,4.92,19.46,138,78,29,15.37,52.21,Wheat,MOP
Sandy,7.79,36.68,102,15,93,13.49,71.68,Maize,DAP
Silt,5.34,25.9,35,69,105,15.47,68.63,Cotton,Urea
Loamy,6.08,36.32,73,15,29,16.31,73.48,Potato,DAP
Sandy,5.77,49.04,114,28,25,13.91,73.61,Rice,DAP
Clay,6.1,48.45,98,28,66,33.75,30.18,Cotton,DAP
Loamy,5.1,27.71,55,21,28,24.32,71.07,Wheat,Urea
Clay,6.51,44.71,146,22,104,26.19,71.07,Maize,DAP
Loamy,7.71,57.06,109,59,22,21.24,33.73,Rice,MOP
Sandy,6.27,41.28,113,76,29,16.32,55.63,Rice,MOP
Clay,6.46,17.42,108,85,116,12.82,34.72,Cotton,NPK
Clay,7.9,43.99,151,40,85,12.28,41.45,Wheat,Zinc Sulphate
Loamy,7.32,15.25,31,86,58,15.55,59.39,Cotton,Urea
Clay,6.46,53.61,80,32,35,35.51,30.72,Potato,DAP
Loamy,5.53,35.83,138,86,44,16.5,35.7,Potato,Zinc Sulphate
Loamy,8.04,29.26,28,79,50,20.64,35.1,Sugarcane,Urea
Loamy,6.81,12.85,44,67,19,27.18,37.47,Wheat,Urea
Loamy,5.38,29.04,73,76,85,25.34,32.99,Maize,Compost
Sandy,5.58,55.16,131,80,33,29.97,66.72,Sugarcane,MOP
Loamy,7.71,11.05,60,19,82,15.83,40.72,Cotton,DAP
Silt,4.68,33.73,69,77,78,25.72,81.76,Cotton,Compost
Clay,8.47,56.56,136,53,40,33.03,83.09,Tomato,Zinc Sulphate
Silt,5.02,29.74,154,79,63,21.63,71.46,Wheat,Compost
Sandy,7.68,31.41,46,80,67,39.16,33.9,Wheat,Urea
Silt,6.08,38.93,130,17,107,27.34,83.5,Potato,DAP
Clay,6.47,33.15,74,37,69,30.24,55.12,Potato,DAP
Silt,8.02,18.43,126,64,118,23.77,40.87,Cotton,Zinc Sulphate
Sandy,6.15,10.93,153,76,20,35.74,76.73,Rice,MOP
Loamy,6.65,40.49,25,86,82,23.54,50.8,Maize,Urea
